state_range,action
[115.   12.    0.    0.    1.5   4.    6.    0.    0.  156. ],"0,2"
[ 94.  13.  92.   1.   0.   0.   6.   0.   0. 156.],"0,0"
[130.   14.   92.    2.    2.5   1.    6.    0.    0.  156. ],"5,0"
[126.   15.   92.    3.    2.5   2.    6.    0.    0.  156. ],"0,0"
[108.   16.   92.    4.    2.5   3.    6.    0.    0.  156. ],"0,0"
[ 91.   17.    0.    0.    2.5   4.    6.    0.    0.  156. ],"0,0"
[ 45.  18.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[116.  19.   0.   0.   0.   0.   6.   0.   0. 156.],"0,2"
[116.  20.  89.   1.   0.   0.   6.   0.   0. 156.],"0,0"
[155.   21.   89.    2.    2.5   1.    6.    0.    0.  156. ],"5,0"
[146.   22.   89.    3.    2.5   2.    6.    0.    0.  156. ],"0,0"
[144.   23.   89.    4.    2.5   3.    6.    0.    0.  156. ],"0,0"
[137.    0.    0.    0.    2.5   4.    6.    0.    0.  144. ],"0,0"
[ 93.   1.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 91.   2.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 88.   3.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 88.   4.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 84.   5.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 85.   6.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 88.   7.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 83.   8.  44.   1.   0.   0.   6.   0.   0. 144.],"0,0"
[ 97.   9.  44.   2.   1.   1.   6.   0.   0. 144.],"2,0"
[ 93.  10.  44.   3.   1.   2.   6.   0.   0. 144.],"0,0"
[ 94.  11.  44.   4.   1.   3.   6.   0.   0. 144.],"0,0"
[ 99.  12.   0.   0.   1.   4.   6.   0.   0. 144.],"0,0"
[ 88.  13.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[ 84.  14.  82.   1.   0.   0.   6.   0.   0. 144.],"0,0"
[119.   15.   82.    2.    2.5   1.    6.    0.    0.  144. ],"5,0"
[ 94.   16.   82.    3.    2.5   2.    6.    0.    0.  144. ],"0,0"
[ 67.   17.   82.    4.    2.5   3.    6.    0.    0.  144. ],"0,0"
[ 83.   18.    0.    0.    2.5   4.    6.    0.    0.  144. ],"0,1"
[ 79.  19.   0.   0.   0.   0.   6.   0.   0. 144.],"0,1"
[ 81.  20.  42.   1.   0.   0.   6.   0.   0. 144.],"0,0"
[101.  21.  42.   2.   1.   1.   6.   0.   0. 144.],"2,0"
[108.  22.  42.   3.   1.   2.   6.   0.   0. 144.],"0,0"
[119.  23.  42.   4.   1.   3.   6.   0.   0. 144.],"0,0"
[126.   0.   0.   0.   1.   4.   6.   0.   0. 171.],"0,0"
[102.   1.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[104.   2.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[108.   3.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[110.   4.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[114.   5.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[119.   6.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[113.   7.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[114.   8.  58.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[136.    9.   58.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[ 99.   10.   58.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[ 72.   11.   58.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[ 66.   12.    0.    0.    1.5   4.    6.    0.    0.  171. ],"0,0"
[ 75.  13.  68.   1.   0.   0.   6.   0.   0. 171.],"0,1"
[ 97.   14.   68.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[105.   15.   68.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[105.   16.   68.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[101.   17.    0.    0.    1.5   4.    6.    0.    0.  171. ],"0,0"
[ 67.  18.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[104.  19.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[100.  20.  86.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[134.  21.  86.   2.   2.   1.   6.   0.   0. 171.],"4,0"
[137.  22.  86.   3.   2.   2.   6.   0.   0. 171.],"0,0"
[150.  23.  86.   4.   2.   3.   6.   0.   0. 171.],"0,0"
[150.   0.   0.   0.   2.   4.   6.   0.   0. 163.],"0,0"
[115.   1.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[115.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[120.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[124.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[122.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[122.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[121.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[120.   8.  70.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[151.    9.   70.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[138.   10.   70.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[134.   11.   70.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[133.   12.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[106.  13.  93.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[146.   14.   93.    2.    2.5   1.    6.    0.    0.  163. ],"5,0"
[137.   15.   93.    3.    2.5   2.    6.    0.    0.  163. ],"0,0"
[111.   16.   93.    4.    2.5   3.    6.    0.    0.  163. ],"0,0"
[ 93.   17.    0.    0.    2.5   4.    6.    0.    0.  163. ],"0,0"
[ 41.  18.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[110.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,2"
[109.  20.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[111.  21.  41.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[131.  22.  41.   2.   1.   1.   6.   0.   0. 163.],"2,0"
[140.  23.  41.   3.   1.   2.   6.   0.   0. 163.],"0,0"
[141.   0.  41.   4.   1.   3.   6.   0.   0. 163.],"0,0"
[133.   1.   0.   0.   1.   4.   6.   0.   0. 163.],"0,0"
[116.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[117.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[120.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[120.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[116.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[115.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
