state_range,action
[153.   0.   0.   0.   1.   4.   6.   0.   0. 163.],"0,0"
[130.   1.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[130.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[126.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[129.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[126.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[121.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[117.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[119.   8.  74.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[148.   9.  74.   2.   2.   1.   6.   0.   0. 163.],"4,0"
[103.  10.  74.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[ 73.  11.  74.   4.   2.   3.   6.   0.   0. 163.],"0,0"
[ 58.  12.   0.   0.   2.   4.   6.   0.   0. 163.],"0,0"
[ 61.  13.  68.   1.   0.   0.   6.   0.   0. 163.],"0,1"
[ 92.  14.  68.   2.   0.   0.   6.   0.   0. 163.],"0,0"
[188.   15.   68.    3.    1.5   1.    6.    0.    0.  163. ],"3,0"
[155.  16.  68.   4.   2.   2.   6.   0.   0. 163.],"1,0"
[ 76.  17.   0.   0.   2.   3.   6.   0.   0. 163.],"0,0"
[ 36.  18.   0.   0.   2.   4.   6.   0.   0. 163.],"0,1"
[ 73.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,2"
[ 67.  20.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[105.  21.  77.   1.   0.   0.   6.   0.   0. 163.],"0,1"
[133.  22.  77.   2.   2.   1.   6.   0.   0. 163.],"4,0"
[137.  23.  77.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[134.   0.  77.   4.   2.   3.   6.   0.   0. 150.],"0,0"
[121.   1.   0.   0.   2.   4.   6.   0.   0. 150.],"0,0"
[ 85.   2.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 81.   3.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 86.   4.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 86.   5.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 90.   6.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 94.   7.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 93.   8.  62.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[120.    9.   62.    2.    1.5   1.    6.    0.    0.  150. ],"3,0"
[104.   10.   62.    3.    1.5   2.    6.    0.    0.  150. ],"0,0"
[ 92.   11.   62.    4.    1.5   3.    6.    0.    0.  150. ],"0,0"
[ 93.   12.    0.    0.    1.5   4.    6.    0.    0.  150. ],"0,0"
[ 70.  13.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 73.  14.  98.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[113.   15.   98.    2.    2.5   1.    6.    0.    0.  150. ],"5,0"
[105.   16.   98.    3.    2.5   2.    6.    0.    0.  150. ],"0,0"
[ 90.   17.   98.    4.    2.5   3.    6.    0.    0.  150. ],"0,0"
[ 76.   18.    0.    0.    2.5   4.    6.    0.    0.  150. ],"0,0"
[ 65.  19.   0.   0.   0.   0.   6.   0.   0. 150.],"0,1"
[102.  20.  83.   1.   0.   0.   6.   0.   0. 150.],"0,1"
[133.  21.  83.   2.   2.   1.   6.   0.   0. 150.],"4,0"
[146.  22.  83.   3.   2.   2.   6.   0.   0. 150.],"0,0"
[168.  23.  83.   4.   2.   3.   6.   0.   0. 150.],"0,0"
[160.    0.    0.    0.    2.5   4.    6.    0.    0.  144. ],"1,0"
[108.   1.   0.   0.   0.   0.   6.   0.   0. 144.],"1,0"
[109.   2.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[107.   3.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[112.   4.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[114.   5.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[119.   6.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[120.   7.   0.   0.   0.   0.   6.   0.   0. 144.],"0,0"
[116.   8.  73.   1.   0.   0.   6.   0.   0. 144.],"0,0"
[142.   9.  73.   2.   2.   1.   6.   0.   0. 144.],"4,0"
[114.  10.  73.   3.   2.   2.   6.   0.   0. 144.],"0,0"
[ 96.  11.  73.   4.   2.   3.   6.   0.   0. 144.],"0,0"
[ 92.  12.   0.   0.   2.   4.   6.   0.   0. 144.],"0,0"
[ 66.  13.  74.   1.   0.   0.   6.   0.   0. 144.],"0,0"
[100.  14.  74.   2.   0.   0.   6.   0.   0. 144.],"0,0"
[208.  15.  74.   3.   2.   1.   6.   0.   0. 144.],"4,0"
[169.   16.   74.    4.    2.5   2.    6.    0.    0.  144. ],"1,0"
[ 53.  17.   0.   0.   3.   3.   6.   0.   0. 144.],"1,0"
[ 23.  18.   0.   0.   3.   4.   6.   0.   0. 144.],"0,2"
[ 82.  19.   0.   0.   0.   0.   6.   0.   0. 144.],"0,3"
[ 81.  20.  69.   1.   0.   0.   6.   0.   0. 144.],"0,0"
[105.  21.  69.   2.   2.   1.   6.   0.   0. 144.],"4,0"
[103.  22.  69.   3.   2.   2.   6.   0.   0. 144.],"0,0"
[111.  23.  69.   4.   2.   3.   6.   0.   0. 144.],"0,0"
[105.   0.   0.   0.   2.   4.   6.   0.   0. 133.],"0,0"
[ 75.   1.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 77.   2.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 73.   3.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 78.   4.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 79.   5.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 79.   6.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 77.   7.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 78.   8.  71.   1.   0.   0.   6.   0.   0. 133.],"0,0"
[101.   9.  71.   2.   2.   1.   6.   0.   0. 133.],"4,0"
[ 86.  10.  71.   3.   2.   2.   6.   0.   0. 133.],"0,0"
[ 76.  11.  71.   4.   2.   3.   6.   0.   0. 133.],"0,0"
[ 77.  12.   0.   0.   2.   4.   6.   0.   0. 133.],"0,0"
[ 91.  13.  60.   1.   0.   0.   6.   0.   0. 133.],"0,1"
[112.  14.  60.   2.   2.   1.   6.   0.   0. 133.],"4,0"
[101.  15.  60.   3.   2.   2.   6.   0.   0. 133.],"0,0"
[ 84.  16.  60.   4.   2.   3.   6.   0.   0. 133.],"0,0"
[ 72.  17.   0.   0.   2.   4.   6.   0.   0. 133.],"0,0"
[ 73.  18.   0.   0.   0.   0.   6.   0.   0. 133.],"0,1"
[ 70.  19.   0.   0.   0.   0.   6.   0.   0. 133.],"0,0"
[ 73.  20.  67.   1.   0.   0.   6.   0.   0. 133.],"0,0"
[ 97.  21.  67.   2.   2.   1.   6.   0.   0. 133.],"4,0"
[ 98.  22.  67.   3.   2.   2.   6.   0.   0. 133.],"0,0"
[112.  23.  67.   4.   2.   3.   6.   0.   0. 133.],"0,0"
[110.   0.   0.   0.   2.   4.   6.   0.   0. 150.],"0,0"
[ 73.   1.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 72.   2.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 72.   3.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 77.   4.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 80.   5.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 83.   6.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 82.   7.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 80.   8.  48.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[102.    9.   48.    2.    1.5   1.    6.    0.    0.  150. ],"3,0"
[ 73.   10.   48.    3.    1.5   2.    6.    0.    0.  150. ],"0,0"
[ 42.   11.   48.    4.    1.5   3.    6.    0.    0.  150. ],"0,0"
[104.   12.    0.    0.    1.5   4.    6.    0.    0.  150. ],"0,2"
[ 77.  13.  73.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[104.  14.  73.   2.   2.   1.   6.   0.   0. 150.],"4,0"
[ 97.  15.  73.   3.   2.   2.   6.   0.   0. 150.],"0,0"
[ 88.  16.  73.   4.   2.   3.   6.   0.   0. 150.],"0,0"
[ 73.  17.   0.   0.   2.   4.   6.   0.   0. 150.],"0,0"
[ 70.  18.   0.   0.   0.   0.   6.   0.   0. 150.],"0,1"
[ 69.  19.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[103.  20.  50.   1.   0.   0.   6.   0.   0. 150.],"0,1"
[119.   21.   50.    2.    1.5   1.    6.    0.    0.  150. ],"3,0"
[113.   22.   50.    3.    1.5   2.    6.    0.    0.  150. ],"0,0"
[112.   23.   50.    4.    1.5   3.    6.    0.    0.  150. ],"0,0"
[106.    0.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 74.   1.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 73.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 72.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 70.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 67.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[101.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,1"
[101.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[101.   8.  57.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[126.    9.   57.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[ 98.   10.   57.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[ 77.   11.   57.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[ 67.   12.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 73.  13.  85.   1.   0.   0.   6.   0.   0. 163.],"0,1"
[109.  14.  85.   2.   2.   1.   6.   0.   0. 163.],"4,0"
[110.  15.  85.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[102.  16.  85.   4.   2.   3.   6.   0.   0. 163.],"0,0"
[ 90.  17.   0.   0.   2.   4.   6.   0.   0. 163.],"0,0"
[ 51.  18.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[121.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,2"
[118.  20.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[121.  21.  52.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[143.   22.   52.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[142.   23.   52.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[134.    0.   52.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[113.    1.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 90.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 92.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 88.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 89.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 92.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 93.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 92.   8.  45.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[104.   9.  45.   2.   1.   1.   6.   0.   0. 163.],"2,0"
[ 99.  10.  45.   3.   1.   2.   6.   0.   0. 163.],"0,0"
[ 91.  11.  45.   4.   1.   3.   6.   0.   0. 163.],"0,0"
[ 92.  12.   0.   0.   1.   4.   6.   0.   0. 163.],"0,0"
[ 74.  13.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 70.  14.  69.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[100.   15.   69.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[106.   16.   69.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[103.   17.   69.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[100.   18.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 76.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 78.  20.  70.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[105.   21.   70.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[121.   22.   70.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[143.   23.   70.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[148.    0.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,0"
[118.   1.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[112.   2.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[113.   3.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[117.   4.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[112.   5.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[111.   6.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[108.   7.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[103.   8.  77.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[127.    9.   77.    2.    1.5   1.    6.    0.    0.  180. ],"3,0"
[110.   10.   77.    3.    1.5   2.    6.    0.    0.  180. ],"0,0"
[101.   11.   77.    4.    1.5   3.    6.    0.    0.  180. ],"0,0"
[106.   12.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,0"
[ 79.  13.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 80.  14.  68.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[103.   15.   68.    2.    1.5   1.    6.    0.    0.  180. ],"3,0"
[ 89.   16.   68.    3.    1.5   2.    6.    0.    0.  180. ],"0,0"
[ 75.   17.   68.    4.    1.5   3.    6.    0.    0.  180. ],"0,0"
[ 67.   18.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,0"
[ 67.  19.   0.   0.   0.   0.   6.   0.   0. 180.],"0,1"
[106.  20.   0.   0.   0.   0.   6.   0.   0. 180.],"0,1"
[101.  21.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[100.  22.  90.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[139.  23.  90.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[140.   0.  90.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[128.   1.  90.   4.   2.   3.   6.   0.   0. 163.],"0,0"
[131.   2.   0.   0.   2.   4.   6.   0.   0. 163.],"0,0"
[ 96.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 96.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 97.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 98.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 93.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 92.   8.  54.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[116.    9.   54.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[ 82.   10.   54.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[ 50.   11.   54.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[106.   12.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,2"
[ 85.  13.  83.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[122.  14.  83.   2.   2.   1.   6.   0.   0. 163.],"4,0"
[121.  15.  83.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[107.  16.  83.   4.   2.   3.   6.   0.   0. 163.],"0,0"
[ 95.  17.   0.   0.   2.   4.   6.   0.   0. 163.],"0,0"
[ 58.  18.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 96.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,1"
[ 95.  20.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 94.  21.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 89.  22.  92.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[130.   23.   92.    2.    2.5   1.    6.    0.    0.  163. ],"5,0"
[113.    0.   92.    3.    2.5   2.    6.    0.    0.  150. ],"0,0"
[ 88.    1.   92.    4.    2.5   3.    6.    0.    0.  150. ],"0,0"
[ 83.    2.    0.    0.    2.5   4.    6.    0.    0.  150. ],"0,0"
[ 79.   3.   0.   0.   0.   0.   6.   0.   0. 150.],"0,1"
[ 76.   4.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 81.   5.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 79.   6.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 83.   7.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 79.   8.  77.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[112.   9.  77.   2.   2.   1.   6.   0.   0. 150.],"4,0"
[ 88.  10.  77.   3.   2.   2.   6.   0.   0. 150.],"0,0"
[ 65.  11.  77.   4.   2.   3.   6.   0.   0. 150.],"0,0"
[ 98.  12.   0.   0.   2.   4.   6.   0.   0. 150.],"0,1"
[ 72.  13.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 77.  14.  91.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[116.   15.   91.    2.    2.5   1.    6.    0.    0.  150. ],"5,0"
[ 95.   16.   91.    3.    2.5   2.    6.    0.    0.  150. ],"0,0"
[ 70.   17.   91.    4.    2.5   3.    6.    0.    0.  150. ],"0,0"
[ 54.   18.    0.    0.    2.5   4.    6.    0.    0.  150. ],"0,0"
[ 83.  19.   0.   0.   0.   0.   6.   0.   0. 150.],"0,2"
[ 79.  20.  60.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[102.   21.   60.    2.    1.5   1.    6.    0.    0.  150. ],"3,0"
[109.   22.   60.    3.    1.5   2.    6.    0.    0.  150. ],"0,0"
[118.   23.   60.    4.    1.5   3.    6.    0.    0.  150. ],"0,0"
[123.    0.    0.    0.    1.5   4.    6.    0.    0.  150. ],"0,0"
[ 96.   1.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 92.   2.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 87.   3.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 86.   4.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 88.   5.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 84.   6.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 84.   7.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 83.   8.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 78.   9.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 76.  10.  76.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[102.  11.  76.   2.   2.   1.   6.   0.   0. 150.],"4,0"
[ 93.  12.  76.   3.   2.   2.   6.   0.   0. 150.],"0,0"
[ 90.  13.  76.   4.   2.   3.   6.   0.   0. 150.],"0,0"
[ 90.  14.   0.   0.   2.   4.   6.   0.   0. 150.],"0,0"
[ 63.  15.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 94.  16.   0.   0.   0.   0.   6.   0.   0. 150.],"0,1"
[ 92.  17.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 92.  18.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 93.  19.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 96.  20.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 99.  21.   0.   0.   0.   0.   6.   0.   0. 150.],"0,0"
[ 97.  22.  93.   1.   0.   0.   6.   0.   0. 150.],"0,0"
[134.   23.   93.    2.    2.5   1.    6.    0.    0.  150. ],"5,0"
[133.    0.   93.    3.    2.5   2.    6.    0.    0.  171. ],"0,0"
[ 77.    1.   93.    4.    2.5   3.    6.    0.    0.  171. ],"0,0"
[ 58.    2.    0.    0.    2.5   4.    6.    0.    0.  171. ],"0,0"
[ 54.   3.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[129.   4.   0.   0.   0.   0.   6.   0.   0. 171.],"0,2"
[131.   5.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[134.   6.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[131.   7.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[126.   8.  77.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[152.   9.  77.   2.   2.   1.   6.   0.   0. 171.],"4,0"
[106.  10.  77.   3.   2.   2.   6.   0.   0. 171.],"0,0"
[ 67.  11.  77.   4.   2.   3.   6.   0.   0. 171.],"0,0"
[ 86.  12.   0.   0.   2.   4.   6.   0.   0. 171.],"0,1"
[ 90.  13.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[ 90.  14.  66.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[116.   15.   66.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[110.   16.   66.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[ 94.   17.   66.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[ 83.   18.    0.    0.    1.5   4.    6.    0.    0.  171. ],"0,0"
[ 88.  19.   0.   0.   0.   0.   6.   0.   0. 171.],"0,1"
[ 90.  20.  54.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[114.   21.   54.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[100.   22.   54.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[ 92.   23.   54.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[ 80.    0.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 88.   1.   0.   0.   0.   0.   6.   0.   0. 163.],"0,1"
[ 87.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 88.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 86.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 90.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 88.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 92.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 87.   8.  56.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[109.    9.   56.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[ 78.   10.   56.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[ 50.   11.   56.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[110.   12.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,2"
[ 89.  13.  95.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[126.   14.   95.    2.    2.5   1.    6.    0.    0.  163. ],"5,0"
[114.   15.   95.    3.    2.5   2.    6.    0.    0.  163. ],"0,0"
[ 91.   16.   95.    4.    2.5   3.    6.    0.    0.  163. ],"0,0"
[ 70.   17.    0.    0.    2.5   4.    6.    0.    0.  163. ],"0,0"
[ 51.  18.   0.   0.   0.   0.   6.   0.   0. 163.],"0,1"
[122.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,2"
[122.  20.  42.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[137.  21.  42.   2.   1.   1.   6.   0.   0. 163.],"2,0"
[146.  22.  42.   3.   1.   2.   6.   0.   0. 163.],"0,0"
[158.  23.  42.   4.   1.   3.   6.   0.   0. 163.],"0,0"
[155.   0.   0.   0.   1.   4.   6.   0.   0. 163.],"0,0"
[136.   1.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[134.   2.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[132.   3.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[133.   4.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[136.   5.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[132.   6.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[132.   7.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[131.   8.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[130.   9.  57.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[151.   10.   57.    2.    1.5   1.    6.    0.    0.  163. ],"3,0"
[128.   11.   57.    3.    1.5   2.    6.    0.    0.  163. ],"0,0"
[111.   12.   57.    4.    1.5   3.    6.    0.    0.  163. ],"0,0"
[107.   13.    0.    0.    1.5   4.    6.    0.    0.  163. ],"0,0"
[ 81.  14.  77.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[109.  15.  77.   2.   2.   1.   6.   0.   0. 163.],"4,0"
[ 89.  16.  77.   3.   2.   2.   6.   0.   0. 163.],"0,0"
[ 60.  17.  77.   4.   2.   3.   6.   0.   0. 163.],"0,0"
[ 79.  18.   0.   0.   2.   4.   6.   0.   0. 163.],"0,1"
[ 74.  19.   0.   0.   0.   0.   6.   0.   0. 163.],"0,1"
[ 70.  20.   0.   0.   0.   0.   6.   0.   0. 163.],"0,0"
[ 72.  21.  46.   1.   0.   0.   6.   0.   0. 163.],"0,0"
[ 89.  22.  46.   2.   1.   1.   6.   0.   0. 163.],"2,0"
[ 99.  23.  46.   3.   1.   2.   6.   0.   0. 163.],"0,0"
[106.   0.  46.   4.   1.   3.   6.   0.   0. 171.],"0,0"
[ 99.   1.   0.   0.   1.   4.   6.   0.   0. 171.],"0,0"
[ 82.   2.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 83.   3.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 80.   4.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 81.   5.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 85.   6.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 79.   7.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 82.   8.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 85.   9.  53.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[100.  10.  53.   2.   1.   1.   6.   0.   0. 171.],"2,0"
[104.  11.  53.   3.   1.   2.   6.   0.   0. 171.],"0,0"
[112.  12.  53.   4.   1.   3.   6.   0.   0. 171.],"0,0"
[120.  13.   0.   0.   1.   4.   6.   0.   0. 171.],"0,0"
[107.  14.  67.   1.   0.   0.   6.   0.   0. 171.],"0,0"
[130.   15.   67.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[125.   16.   67.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[118.   17.   67.    4.    1.5   3.    6.    0.    0.  171. ],"0,0"
[108.   18.    0.    0.    1.5   4.    6.    0.    0.  171. ],"0,0"
[ 74.  19.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[ 68.  20.   0.   0.   0.   0.   6.   0.   0. 171.],"0,0"
[102.  21.  67.   1.   0.   0.   6.   0.   0. 171.],"0,1"
[131.   22.   67.    2.    1.5   1.    6.    0.    0.  171. ],"3,0"
[142.   23.   67.    3.    1.5   2.    6.    0.    0.  171. ],"0,0"
[149.    0.   67.    4.    1.5   3.    6.    0.    0.  180. ],"0,0"
[141.    1.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,0"
